اسم_المدرسة,المنطقة_الإدارية,الإدارة_التعليمية,المكتب_التعليمي,السلطة,نوع_التعليم,الجنس,نوع_الاختبار,تخصص_الاختبار,متوسط_أداء_الطلبة_في_المدرسة,ترتيب_المدرسة_على_مستوى_المدارس
أم سلمة الثانوية للموهوبات - مقررات,مكة المكرمة,الإدارة العامة للتعليم بمنطقة مكة المكرمة,مكتب التعليم جنوب مكة المكرمة,حكومي,تعليم عام بنات,بنات,قدرات,علمي,89.622377,1
ثانوية الرواد الأهلية ( الازدهار ) - مقررات,الرياض,الإدارة العامة للتعليم بمنطقة الرياض,شمال,أهلي,تعليم عام بنات,بنات,قدرات,نظري,84.44,1
ثانوية الموهوبات ( نظام مقررات ),مكة المكرمة,الإدارة العامة للتعليم بمحافظة جدة,مكتب التعليم بشمال جدة,حكومي,تعليم عام بنات,بنات,قدرات,علمي,89.280423,2
الثانوية السادسة لتحفيظ القرآن الكريم 6 - مقررات,الرياض,الإدارة العامة للتعليم بمنطقة الرياض,شمال,حكومي,تحفيظ بنات,بنات,قدرات,نظري,83.55,2
ثانوية مدارس الظهران الاهلية (مقررات),الشرقية,الإدارة العامة للتعليم بالمنطقة الشرقية,مكتب التعليم بمحافظة الخبر,أهلي,تعليم عام بنات,بنات,قدرات,علمي,88.903225,3
الثانوية الرابعة لتحفيظ القرآن الكريم بالمدينة - مقررات,المدينة المنورة,الإدارة العامة للتعليم بمنطقة المدينة المنورة,مكتب التعليم شمال المدينة المنورة,حكومي,تحفيظ بنات,بنات,قدرات,نظري,82.188679,3
ثانوية الأنجال الأهلية-مقررات,الشرقية,الإدارة العامة للتعليم بمحافظة الاحساء,مكتب التعليم بالهفوف,أهلي,تعليم عام بنات,بنات,قدرات,علمي,87.521472,4
الثانوية الخامسة لتحفيظ القران الكريم 5 - مقررات,الرياض,الإدارة العامة للتعليم بمنطقة الرياض,غرب,حكومي,تحفيظ بنات,بنات,قدرات,نظري,82.185185,4
ثانوية مدارس الجامعة الاهلية للبنات - مقررات,الشرقية,الإدارة العامة للتعليم بالمنطقة الشرقية,مكتب التعليم بمحافظة الخبر,أهلي,تعليم عام بنات,بنات,قدرات,علمي,87.287066,5
ثانوية حفصة بنت عمر لتحفيظ القرآن الكريم. - مقررات,الشرقية,الإدارة العامة للتعليم بمحافظة الاحساء,مكتب التعليم بالهفوف,حكومي,تحفيظ بنات,بنات,قدرات,نظري,81.912087,5
ثانوية شموخ الأجيال الأهلية (مقررات),الرياض,الإدارة العامة للتعليم بمنطقة الرياض,غرب,أهلي,تعليم عام بنات,بنات,قدرات,علمي,86.874125,6
الثانوية الأولى لتحفيظ القرآن الكريم بالمدينة - مقررات,المدينة المنورة,الإدارة العامة للتعليم بمنطقة المدينة المنورة,مكتب التعليم شرق المدينة المنورة,حكومي,تحفيظ بنات,بنات,قدرات,نظري,81.627634,6
ثانوية الفهد الأهلية - مقررات,الرياض,الإدارة العامة للتعليم بمنطقة الرياض,وسط,أهلي,تعليم عام بنات,بنات,قدرات,علمي,85.658878,7
ثانوية تحفيظ القرآن  الأولى بالهفوف. - مقررات,الشرقية,الإدارة العامة للتعليم بمحافظة الاحساء,مكتب التعليم بالهفوف,حكومي,تحفيظ بنات,بنات,قدرات,نظري,81.352112,7
